55	PC13_devel	10329687.s2	We have cloned the human Na+-dependent multivitamin transporter (SMVT), which transports the water-soluble vitamins pantothenate, biotin, and lipoate, from a placental choriocarcinoma cell line (JAR).	25-63	Na+-dependent multivitamin transporter	SLC5A6 protein, human	C1449152	T116|T123	Gene_or_gene_product	116-128	pantothenate	pantothenate	C0178793	T116|T121|T127	Simple_chemical	158-183	placental choriocarcinoma	Placental Choriocarcinoma	C0855173	T191	-694	Regulation	Forward	FALSE	NA
56	PC13_devel	10329687.s2	We have cloned the human Na+-dependent multivitamin transporter (SMVT), which transports the water-soluble vitamins pantothenate, biotin, and lipoate, from a placental choriocarcinoma cell line (JAR).	25-63	Na+-dependent multivitamin transporter	SLC5A6 protein, human	C1449152	T116|T123	Gene_or_gene_product	130-136	biotin	Biotin	C0005575	T109|T121|T127	Simple_chemical	158-183	placental choriocarcinoma	Placental Choriocarcinoma	C0855173	T191	-694	Regulation	Forward	FALSE	NA
57	PC13_devel	10329687.s2	We have cloned the human Na+-dependent multivitamin transporter (SMVT), which transports the water-soluble vitamins pantothenate, biotin, and lipoate, from a placental choriocarcinoma cell line (JAR).	25-63	Na+-dependent multivitamin transporter	SLC5A6 protein, human	C1449152	T116|T123	Gene_or_gene_product	142-149	lipoate	lipoate	C0178731	T109|T127	Simple_chemical	158-183	placental choriocarcinoma	Placental Choriocarcinoma	C0855173	T191	-694	Regulation	Forward	FALSE	NA
59	PC13_devel	10329687.s2	We have cloned the human Na+-dependent multivitamin transporter (SMVT), which transports the water-soluble vitamins pantothenate, biotin, and lipoate, from a placental choriocarcinoma cell line (JAR).	65-69	SMVT	SLC5A6 protein, human	C1449152	T116|T123	Gene_or_gene_product	116-128	pantothenate	pantothenate	C0178793	T116|T121|T127	Simple_chemical	158-183	placental choriocarcinoma	Placental Choriocarcinoma	C0855173	T191	-694	Regulation	Forward	FALSE	NA
60	PC13_devel	10329687.s2	We have cloned the human Na+-dependent multivitamin transporter (SMVT), which transports the water-soluble vitamins pantothenate, biotin, and lipoate, from a placental choriocarcinoma cell line (JAR).	65-69	SMVT	SLC5A6 protein, human	C1449152	T116|T123	Gene_or_gene_product	130-136	biotin	Biotin	C0005575	T109|T121|T127	Simple_chemical	158-183	placental choriocarcinoma	Placental Choriocarcinoma	C0855173	T191	-694	Regulation	Forward	FALSE	NA
61	PC13_devel	10329687.s2	We have cloned the human Na+-dependent multivitamin transporter (SMVT), which transports the water-soluble vitamins pantothenate, biotin, and lipoate, from a placental choriocarcinoma cell line (JAR).	65-69	SMVT	SLC5A6 protein, human	C1449152	T116|T123	Gene_or_gene_product	142-149	lipoate	lipoate	C0178731	T109|T127	Simple_chemical	158-183	placental choriocarcinoma	Placental Choriocarcinoma	C0855173	T191	-694	Regulation	Forward	FALSE	NA
121	PC13_devel	10998368.s2	Transfection-deletion experiments, DNase I protection by E2F1 and gel mobility-shift experiments locate E2F1 activation sites to two regions on either side of the transcription start site.	35-42	DNase I	Deoxyribonuclease I	C0011519	T116|T126	Gene_or_gene_product	57-61	E2F1	E2F1 Transcription Factor	C1384539	T116|T123	Gene_or_gene_product	13-21	deletion	Deletion	C1442161	T049	-660	Regulation	Backward	FALSE	NA
287	PC13_devel	11402328.s0	The SV40 small t-antigen prevents mammary gland differentiation and induces breast cancer formation in transgenic mice; truncated large T-antigen molecules harboring the intact p53 and pRb binding region do not have this effect.	130-145	large T-antigen	Large T-Antigen	C0023043	T116|T129	Gene_or_gene_product	177-180	p53	Protein p53	C0080055	T116|T123	Gene_or_gene_product	76-89	breast cancer	Breast Cancer	C0006142	T191	-734	Binding	NA	FALSE	NA
288	PC13_devel	11402328.s0	The SV40 small t-antigen prevents mammary gland differentiation and induces breast cancer formation in transgenic mice; truncated large T-antigen molecules harboring the intact p53 and pRb binding region do not have this effect.	130-145	large T-antigen	Large T-Antigen	C0023043	T116|T129	Gene_or_gene_product	177-180	p53	Protein p53	C0080055	T116|T123	Gene_or_gene_product	76-89	breast cancer	Breast Cancer	C0678222	T191	-734	Binding	NA	FALSE	NA
289	PC13_devel	11402328.s0	The SV40 small t-antigen prevents mammary gland differentiation and induces breast cancer formation in transgenic mice; truncated large T-antigen molecules harboring the intact p53 and pRb binding region do not have this effect.	130-145	large T-antigen	Large T-Antigen	C0023043	T116|T129	Gene_or_gene_product	185-188	pRb	Retinoblastoma Protein	C0080113	T116|T123	Gene_or_gene_product	76-89	breast cancer	Breast Cancer	C0006142	T191	-734	Binding	NA	FALSE	NA
290	PC13_devel	11402328.s0	The SV40 small t-antigen prevents mammary gland differentiation and induces breast cancer formation in transgenic mice; truncated large T-antigen molecules harboring the intact p53 and pRb binding region do not have this effect.	130-145	large T-antigen	Large T-Antigen	C0023043	T116|T129	Gene_or_gene_product	185-188	pRb	Retinoblastoma Protein	C0080113	T116|T123	Gene_or_gene_product	76-89	breast cancer	Breast Cancer	C0678222	T191	-734	Binding	NA	FALSE	NA
397	PC13_devel	11590175.s8	DFMO-induced NF-kappa B activation was accompanied by the translocation of p65 from the cytoplasm into the nucleus.	0-4	DFMO	Eflornithine	C0002260	T116|T121	Simple_chemical	13-23	NF-kappa B	NF-kappa B	C0079904	T116|T129	Complex	58-71	translocation	Translocation	C0040715	T049	-1000	Increase	Forward	TRUE	NA
409	PC13_devel	11756542.s9	Removal of the entire N terminus did not affect the ability of p130 to interact with E2F and to induce growth arrest.	63-67	p130	Retinoblastoma-Like Protein p130	C1529719	T116|T123	Gene_or_gene_product	85-88	E2F	E2F transcription factors	C0146462	T116|T123	Gene_or_gene_product	103-116	growth arrest	Growth arrest	C0333951	T046	-1000	Binding	NA	FALSE	NA
414	PC13_devel	11807498.s4	Here we show that Sld2 (ref. 4) (also known as Drc1; ref. 5), one of the replication proteins of budding yeast (Saccharomyces cerevisiae), is phosphorylated in S phase in an S-Cdk-dependent manner, and mutant Sld2 lacking all the preferred Cdk phosphorylation sites (All-A) is defective in chromosomal DNA replication.	18-22	Sld2	SLD2 protein, S cerevisiae	C1308763	T116|T123	Gene_or_gene_product	174-179	S-Cdk	Cyclin-Dependent Kinases	C0243045	T116|T126	Gene_or_gene_product	202-208	mutant	Mutant	C0596988	T049	-660	Regulation	Backward	FALSE	NA
426	PC13_devel	11807498.s4	Here we show that Sld2 (ref. 4) (also known as Drc1; ref. 5), one of the replication proteins of budding yeast (Saccharomyces cerevisiae), is phosphorylated in S phase in an S-Cdk-dependent manner, and mutant Sld2 lacking all the preferred Cdk phosphorylation sites (All-A) is defective in chromosomal DNA replication.	47-51	Drc1	SLD2 protein, S cerevisiae	C1308763	T116|T123	Gene_or_gene_product	174-179	S-Cdk	Cyclin-Dependent Kinases	C0243045	T116|T126	Gene_or_gene_product	202-208	mutant	Mutant	C0596988	T049	-660	Regulation	Backward	FALSE	NA
431	PC13_devel	12024030.s1	Transcriptional silencing at the budding yeast silent mating type (HM) loci and telomeric DNA regions requires Sir2, a conserved NAD-dependent histone deacetylase, Sir3, Sir4, histones H3 and H4, and several DNA-binding proteins.	111-115	Sir2	SIR2 protein, S cerevisiae	C0255861	T116|T126	Gene_or_gene_product	129-132	NAD	Nicotinamide adenine dinucleotide (NAD)	C0027270	T114|T121|T123	Simple_chemical	16-25	silencing	silence	C0858952	T048	-827	Increase	Backward	FALSE	NA
455	PC13_devel	12024030.s4	We further show that the initial binding of the Sir2/Sir4 complex to DNA sites that nucleate silencing, accompanied by partial Sir2-dependent histone deacetylation, occurs independently of Sir3 and is likely to be the first step in assembly of silent chromatin at the HM loci and telomeres.	127-131	Sir2	SIR2 protein, S cerevisiae	C0255861	T116|T126	Gene_or_gene_product	142-149	histone	Histones	C0019652	T116|T123	Gene_or_gene_product	93-102	silencing	silence	C0858952	T048	-827	Regulation	Forward	FALSE	NA
