head	tail	context	relation_type
C0003593	C0085201	C0010068	Binding
C0037663	C0021641	C0028754	Regulation
C1414925	C0017785	C0011854	Binding
C0021641	C0017785	C0011854	Binding
C1414925	C0021641	C0011854	Binding
C0042971	C0016006	C0042974	Binding
C1414471	C0010803	C0027651	Binding
C0019046	C0015879	C0240066	Regulation
C0021760	C1456820	C0175697	Binding
C0018062	C0106132	C0027651	Binding
C0169665	C0174680	C0678222	Increase
C0022709	C0021641	C0022658	Binding
C0021753	C1456820	C0175697	Regulation
C1456820	C0021745	C0175697	Regulation
C0021745	C0021753	C0175697	Binding
C0069515	C0019733	C0027651	Binding
C0249197	C0080055	C0678222	Binding
C0021760	C0019046	C0027651	Regulation
C1456820	C0019046	C0027651	Regulation
C0021760	C0079633	C0027651	Regulation
C0021760	C1456820	C0027651	Binding
C0021665	C0021641	C0027651	Regulation
C0078058	C0080055	C0027651	Binding
C0080055	C0078058	C0279626	Binding
C0087071	C1098093	C0007097	Decrease
C0087071	C1366777	C1527249	Regulation
C1366777	C0087071	C0001430	Binding
C1366777	C0087071	C0007097	Binding
C1702299	C1456820	C0175697	Binding
C1702299	C0021753	C0175697	Binding
C0020835	C0023206	C0022658	Increase
C1956003	C0034678	C1261473	Binding
C0009331	C0020852	C0003873	Binding
C0030123	C0031456	C0751435	Regulation
C1334879	C1259013	C0027651	Decrease
C0054953	C0001271	C0027651	Binding
C0920288	C0072470	C0027651	Binding
C0025250	C0248007	C0024301	Increase
C0054953	C4042483	C0027651	Binding
C0054953	C0042666	C0027651	Decrease
C0058889	C0054953	C0027651	Increase
C0042666	C4042483	C0027651	Binding
C0042666	C0058889	C0027651	Increase
C1417490	C1417494	C0027651	Binding
C0017626	C0001271	C0027651	Binding
C0030016	C0066357	C0598608	Regulation
C0360105	C0162758	C1868649	Binding
C0041368	C0140145	C0242184	Regulation
C1334339	C0069535	C0023418	Regulation
C0087071	C1098093	C0027651	Regulation
C0087071	C1098093	C0699790	Binding
C0169101	C0139905	C3263719	Binding
C0034789	C1412097	C0023473	Binding
C0016026	C0380603	C0027651	Binding
C0169665	C1332737	C0025202	Binding
C0169665	C0249880	C0025202	Binding
C0169665	C0246957	C0025202	Binding
C0080113	C0169665	C0025202	Decrease
C0080113	C1332737	C0025202	Decrease
C0080113	C1528558	C0027651	Binding
C0385939	C1704256	C0027651	Decrease
C1456820	C0123759	C0027651	Binding
C0021760	C0123759	C0027651	Binding
C0015683	C0253023	C0027651	Binding
C3657415	C0034802	C0008497	Binding
C0021756	C0021740	C0027651	Binding
C0123759	C0085295	C0027651	Binding
C0085295	C1456820	C0027651	Binding
C0164707	C0003595	C0004153	Binding
C0003595	C0164707	C2586211	Binding
C0030190	C0032143	C0042974	Binding
C0032143	C0006560	C0042974	Increase
C0016006	C0032143	C0042974	Binding
C0030190	C0006560	C0042974	Binding
C0016006	C0030190	C0042974	Binding
C0006560	C0016006	C0042974	Binding
C0021641	C0022709	C0028754	Decrease
C0021641	C0030190	C0028754	Binding
C0063695	C0021753	C0027651	Decrease
C0041368	C1456820	C0003873	Binding
C0021641	C0299583	C0028754	Binding
C0021641	C0299583	C0032460	Decrease
C0023607	C0299583	C0028754	Decrease
C0299583	C0023607	C0032460	Binding
C0023607	C0021641	C0028754	Binding
C0021641	C0023607	C0032460	Binding
C0016424	C0025326	C2751898	Binding
C0108779	C1332717	C0027651	Binding
C1456820	C0079460	C0027651	Regulation
C1292273	C0042971	C0042974	Binding
C0042971	C0032143	C0042974	Binding
C0030190	C0042971	C0042974	Decrease
C0016006	C0042971	C0007222	Binding
C0004002	C0001899	C0027651	Binding
C0004002	C0022917	C0027651	Regulation
C0022917	C0001899	C0027651	Binding
C0078058	C0378516	C1306459	Binding
C0288472	C0080113	C0035335	Regulation
C0249197	C0080113	C0035335	Binding
C0080055	C0080113	C0035335	Binding
C0288472	C0080055	C0035335	Binding
C0288472	C0249197	C0035335	Binding
C0080055	C0249197	C0035335	Increase
C0010711	C0079459	C0023467	Binding
C0034678	C0022709	C0022658	Binding
C0016006	C0006560	C0155626	Binding
C0006560	C0016006	C0027051	Binding
C0016006	C0006560	C1956346	Binding
C0003438	C0016006	C0042974	Binding
C0033621	C0016006	C0042974	Regulation
C0055538	C0023823	C0268731	Regulation
C0021760	C0021758	C0027651	Regulation
C0123759	C0021758	C0027651	Regulation
C0021745	C0021758	C0027651	Regulation
C0085295	C0021758	C0027651	Binding
C0085295	C0021760	C0027651	Regulation
C0021745	C0021760	C0027651	Regulation
C0021745	C0085295	C0027651	Binding
C1456820	C0021753	C0027651	Binding
C0054959	C0167627	C0007097	Decrease
C0078058	C0021760	C0027651	Regulation
C0021760	C0078058	C1306459	Binding
C0032200	C0021760	C0027651	Binding
C0032200	C0078058	C0027651	Binding
C0210492	C3178655	C0027651	Increase
C0105770	C0526999	C0032580	Decrease
C0105770	C0526999	C0027651	Decrease
C1527123	C0039902	C0549473	Binding
C4042483	C0219474	C0027651	Binding
C0078058	C0042971	C0035309	Binding
C0063695	C0115305	C1861455	Binding
C0078058	C0051844	C2751898	Binding
C0078058	C0380603	C2751898	Binding
C0033621	C1959616	C0032580	Binding
C0033621	C0483249	C0032580	Binding
C0030190	C0040018	C0032580	Regulation
C0019167	C0021747	C0019189	Binding
C3652465	C0019167	C0019159	Regulation
C3652465	C0019167	C0019189	Binding
C0021747	C0019167	C0019159	Binding
C0021747	C3652465	C0019159	Decrease
C0021747	C3652465	C0019189	Binding
C0027021	C0002712	C0030305	Regulation
C0021745	C0021753	C0027651	Regulation
C1456820	C0021745	C0027651	Regulation
C0021756	C0079460	C0027651	Binding
C0079460	C0123759	C0027651	Binding
C0079460	C1456820	C0600139	Regulation
C0123759	C0021756	C0027651	Binding
C1456820	C0021756	C0600139	Binding
C1332717	C0003323	C0027651	Regulation
C0014239	C0034804	C0027651	Regulation
C0014239	C0034804	C1458155	Binding
C0085151	C0001347	C0002395	Binding
C0080055	C0243045	C0027651	Binding
C0118036	C1414649	C0016667	Binding
C0139903	C0059973	C0027651	Decrease
C0059973	C0128818	C0027651	Binding
C0128818	C0139903	C0027651	Binding
C3178961	C0753137	C0032580	Binding
C3178961	C0105770	C0032580	Decrease
C0105770	C0753137	C0032580	Binding
C0674679	C1417250	C0398791	Binding
C0042971	C0134835	C0856169	Increase
C0021760	C0021753	C0027651	Binding
C0249880	C0525037	C0027651	Regulation
C0042971	C0040018	C0042974	Binding
C0242957	C0080055	C0027651	Increase
C0079904	C0024075	C0175697	Binding
C1332717	C0003323	C0019693	Binding
C0034678	C0080055	C0027651	Binding
C0080055	C0034678	C1306459	Binding
C0015683	C0010656	C0027651	Binding
C0164786	C1430988	C0027651	Binding
C0021641	C0006558	C0028754	Regulation
C0080055	C0080113	C0027651	Regulation
C0042172	C0174680	C0027651	Binding
C4042483	C0080065	C0027651	Increase
C0080065	C0069515	C0027651	Decrease
C0034802	C0069515	C0027651	Regulation
C0080055	C0174680	C0027651	Binding
C0080065	C0080055	C0027651	Binding
C4042483	C0080055	C0027651	Regulation
C0034802	C0080055	C0027651	Binding
C0069515	C0080055	C0027651	Binding
C0042172	C0080055	C0027651	Binding
C0174680	C0080113	C0027651	Decrease
C4042483	C0080113	C0027651	Binding
C0034802	C0080113	C0027651	Decrease
C0069515	C0080113	C0027651	Decrease
C0080113	C0042172	C0027651	Binding
C0174680	C4042483	C0027651	Binding
C0034802	C0174680	C0027651	Binding
C0174680	C0069515	C0027651	Binding
C4042483	C0034802	C0027651	Binding
C0069515	C4042483	C0027651	Binding
C4042483	C0042172	C0027651	Regulation
C0062529	C0080055	C0027651	Binding
C0026900	C0314684	C0027651	Binding
C0526999	C0080055	C0027651	Binding
C0526999	C0694898	C0027651	Decrease
C0080055	C0288472	C0027651	Binding
C0080055	C0694898	C0027651	Binding
C0169665	C0069515	C0027651	Binding
C0010656	C0041368	C0027651	Binding
C0010656	C0385242	C0027651	Binding
C0015683	C0255808	C0027651	Binding
C0041368	C0015683	C0027651	Binding
C0385242	C0015683	C0027651	Binding
C0041368	C0255808	C0027651	Binding
C0041368	C0385242	C0027651	Regulation
C0080055	C0219474	C1306459	Binding
C0080055	C4042483	C1306459	Increase
C0288472	C0080055	C1306459	Binding
C0219474	C0288472	C1306459	Binding
C0021760	C0025646	C0027651	Binding
C0021760	C0006560	C0027651	Binding
C0022917	C0021760	C0027651	Binding
C0022917	C0006560	C0027651	Regulation
C0249880	C0525037	C1961102	Regulation
C0003009	C0085828	C0020456	Binding
C0080055	C0079419	C0017638	Binding
C0020846	C0051978	C0851444	Regulation
C0016055	C1456820	C0027651	Binding
C0021760	C0006560	C0151744	Increase
C0123759	C1332717	C0027651	Binding
C0035379	C0123759	C0027651	Increase
C0123759	C0021745	C0027651	Binding
C0021745	C1332717	C0027651	Decrease
C0598034	C1528558	C0027651	Decrease
C0007082	C0080055	C0027651	Binding
C0007082	C0069515	C0027651	Binding
C0002199	C1456820	C0175697	Binding
C1456820	C0054959	C0175697	Binding
C1456820	C0383327	C0175697	Decrease
C0021745	C0002199	C0175697	Binding
